obs_no,study,pub_reference,pub_year,loc_citystate,lat,long,exp_type,reps,aridity_index,om_pct,soil_type,pH,cc_spec,cc_type,cropsys_tillage,msmt_season,msmt_planting,weed_group,cc_p_mnth,cc_p_mnth2,cc_p_dom,cc_p_den_kgha,cc_p_meth,cc_term_mnth,cc_term_mnth2,cc_term_dom,cc_term_meth,cc_term_meth2,crop_follow,crop_p_mnth,crop_p_mnth2,crop_p_dom,cc_bm_kgha,cc_bm_se,cc_wden,cc_wden_se,ctl_wden,ctl_wden_se,cc_wbio,cc_wbio_se,ctl_wbio,ctl_wbio_se,cc_yield_kgha,cc_yield_se,ctl_yield_kgha,ctl_yield_se,cc_pest,cc_pDOM,ccpl_lubdate,ccpl_doy,cc_termest,ccterm_lubdate,ccterm_doy,crop_pest,croppl_lubdate,croppl_doy,cc_growdays,termgap_days,yieldLRR,wgt,cc_type2,cc_bm_Mgha,resp,LRR
48,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,santiago medic,legume,N,summer,after,summer annual,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2200,NA,29.8,NA,37.8,NA,2.2,NA,7.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.2,bio,-1.2784053991087057
49,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,mogul medic,legume,N,summer,after,summer annual,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,1800,NA,36.3,NA,37.8,NA,2.4,NA,7.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.8,bio,-1.191394022119076
50,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,red clover,legume,N,summer,after,summer annual,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,1300,NA,10.5,NA,37.8,NA,2.3,NA,7.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.3,bio,-1.233953636537872
51,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,berseem clover,legume,N,summer,after,summer annual,Aug,8,NA,16.8,drilled,NA,NA,NA,herbicide,H,corn,May,5,15,NA,NA,NA,NA,37.8,NA,2.9,NA,7.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,NA,bio,-1.0021520224805476
52,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,santiago medic,legume,N,summer,after,summer annual,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2000,NA,22.5,NA,18.8,NA,4.7,NA,8.6,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2,bio,-0.604199694543449
53,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,mogul medic,legume,N,summer,after,summer annual,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2300,NA,14,NA,18.8,NA,12.2,NA,8.6,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.3,bio,0.34967374847974886
54,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,red clover,legume,N,summer,after,summer annual,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2200,NA,17.3,NA,18.8,NA,4.5,NA,8.6,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.2,bio,-0.6476848064831879
56,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,santiago medic,legume,N,summer,after,summer annual,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2800,NA,5.8,NA,12.3,NA,4.7,NA,7.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.8,bio,-0.519300250756963
57,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,mogul medic,legume,N,summer,after,summer annual,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2400,NA,15.5,NA,12.3,NA,12.2,NA,7.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.4,bio,0.4345731922662349
58,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,red clover,legume,N,summer,after,summer annual,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,1600,NA,13,NA,12.3,NA,4.5,NA,7.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.6,bio,-0.5627853626967019
60,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,santiago medic,legume,N,summer,after,perennial,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,3100,NA,5.5,NA,10.3,NA,0.8,NA,1.1,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,3.1,bio,-0.3184537311185346
61,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,mogul medic,legume,N,summer,after,perennial,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,5300,NA,5.3,NA,10.3,NA,0.8,NA,0.4,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,5.3,bio,0.6931471805599453
62,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,red clover,legume,N,summer,after,perennial,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,4100,NA,9.5,NA,10.3,NA,0.8,NA,1.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,4.1,bio,-0.8649974374866044
63,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,berseem clover,legume,N,summer,after,perennial,Aug,8,NA,16.8,drilled,NA,NA,NA,herbicide,H,corn,May,5,15,1900,NA,13,NA,10.3,NA,0.8,NA,1.2,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.9,bio,-0.4054651081081643
64,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,santiago medic,legume,N,summer,after,perennial,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2200,NA,5.8,NA,11.5,NA,4.1,NA,0.7,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.2,bio,1.7676619176489945
65,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,mogul medic,legume,N,summer,after,perennial,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,1800,NA,9.3,NA,11.5,NA,4.1,NA,2.1,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.8,bio,0.6690496289808847
66,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,red clover,legume,N,summer,after,perennial,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,1300,NA,7.8,NA,11.5,NA,4.1,NA,1.1,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.3,bio,1.315676793905937
68,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,santiago medic,legume,N,summer,after,perennial,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2000,NA,22.5,NA,18.8,NA,2.6,NA,2.9,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2,bio,-0.10919929196499197
69,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,mogul medic,legume,N,summer,after,perennial,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2300,NA,14,NA,18.8,NA,2.6,NA,2.7,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.3,bio,-0.037740327982847086
70,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,red clover,legume,N,summer,after,perennial,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2200,NA,17.3,NA,18.8,NA,2.6,NA,2.3,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.2,bio,0.12260232209233247
71,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,berseem clover,legume,N,summer,after,perennial,Aug,8,NA,16.8,drilled,NA,NA,NA,herbicide,H,corn,May,5,15,1400,NA,24.5,NA,18.8,NA,2.6,NA,3.7,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.4,bio,-0.3528213746227423
72,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,santiago medic,legume,N,summer,after,perennial,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2800,NA,10.5,NA,16.5,NA,0.8,NA,1.1,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.8,bio,-0.3184537311185346
73,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,mogul medic,legume,N,summer,after,perennial,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2400,NA,19.8,NA,16.5,NA,0.8,NA,4,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.4,bio,-1.6094379124341003
74,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,red clover,legume,N,summer,after,perennial,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,1600,NA,32.5,NA,16.5,NA,0.8,NA,4.2,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.6,bio,-1.6582280766035324
75,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,berseem clover,legume,N,summer,after,perennial,Aug,8,NA,16.8,drilled,NA,NA,NA,herbicide,H,corn,May,5,15,1700,NA,11.8,NA,16.5,NA,0.8,NA,1,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.7,bio,-0.2231435513142097
76,5,Forcella 2013,2013,"Stevens County, MN",45.68333333,-95.8,RCBDsplitplot,4,0.6512,NA,loam,7.3,rye,grass,Y,spring,before,summer annual,Sep,9,2,73,drilled,Jun,6,11,roller crimper,M,soybean,Jun,6,11,6000,1040,1,0.3,30,7.5,1,1,453,131.3,2080,110,2640,190,NA,2,2018-09-02,245,NA,2019-06-11,162,NA,2019-06-11,162,282,0,-0.23841102344499823,2,grass,6,bio,-3.420065865966538
77,5,Forcella 2013,2013,"Stevens County, MN",45.68333333,-95.8,RCBDsplitplot,4,0.6512,NA,loam,7.3,rye,grass,Y,spring,before,summer annual,Sep,9,20,73,drilled,Jun,6,14,roller crimper,M,soybean,Jun,6,14,6000,890,51,46.4,19,8.2,35,8.7,35,8.7,1960,120,1960,120,NA,20,2018-09-20,263,NA,2019-06-14,165,NA,2019-06-14,165,267,0,0,2,grass,6,bio,0
82,7,"Gallagher et al., 2003",2003,"Wooster, OH",40.8051,-81.9351,RCBD,4,0.9375,2.9,silt loam,7,wheat,grass,N,summer,after,summer annual,Sep,9,NA,100,drilled,NA,NA,NA,herbicide,H,soybean,May,5,11,3400,NA,NA,NA,NA,NA,500,NA,560,NA,2300,NA,1800,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-11,131,NA,NA,0.2451224580329849,2,grass,3.4,bio,-0.11332868530700312
83,7,"Gallagher et al., 2003",2003,"Wooster, OH",40.8051,-81.9351,RCBD,4,0.9375,2.9,silt loam,7,wheat,grass,N,summer,after,summer annual,Sep,9,NA,100,drilled,NA,NA,NA,herbicide,H,soybean,May,5,5,3500,NA,NA,NA,NA,NA,2700,NA,2900,NA,3200,NA,2600,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-05,125,NA,NA,0.20763936477824455,2,grass,3.5,bio,-0.07145896398214498
84,7,"Gallagher et al., 2003",2003,"Wooster, OH",40.8051,-81.9351,RCBD,4,0.9375,2.9,silt loam,7,vetch,legume,N,summer,after,summer annual,Aug,8,NA,22,drilled,NA,NA,NA,herbicide,H,corn,Apr,4,20,4500,NA,NA,NA,NA,NA,310,NA,260,NA,11900,NA,13500,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-04-20,110,NA,NA,-0.1261512853269,2,non-grass,4.5,bio,0.1758906664636642
85,7,"Gallagher et al., 2003",2003,"Wooster, OH",40.8051,-81.9351,RCBD,4,0.9375,2.9,silt loam,7,vetch,legume,N,summer,after,summer annual,Aug,8,NA,22,drilled,NA,NA,NA,herbicide,H,corn,Apr,4,25,4100,NA,NA,NA,NA,NA,130,NA,40,NA,9000,NA,8500,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-04-25,115,NA,NA,0.05715841383994862,2,non-grass,4.1,bio,1.1786549963416462
90,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Apr,4,27,roller crimper,M,corn,Apr,4,27,8130,NA,8,NA,41,NA,17,NA,217,NA,40,NA,9770,NA,NA,28,2018-08-28,240,NA,2019-04-27,117,NA,2019-04-27,117,242,0,-5.498192290922892,2,non-grass,8.13,bio,-2.5466840094842436
91,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Apr,4,27,mowing,M,corn,Apr,4,27,5430,NA,25,NA,41,NA,147,NA,217,NA,3000,NA,9770,NA,NA,28,2018-08-28,240,NA,2019-04-27,117,NA,2019-04-27,117,242,0,-1.1807041773865816,2,non-grass,5.43,bio,-0.3894647667617233
92,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,May,5,24,herbicide,M,corn,May,5,24,3410,NA,50,NA,41,NA,150,NA,217,NA,8020,NA,9770,NA,NA,28,2018-08-28,240,NA,2019-05-24,144,NA,2019-05-24,144,269,0,-0.1973780441762683,2,non-grass,3.41,bio,-0.3692620594442038
93,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,May,5,24,roller crimper,M,corn,May,5,24,4830,NA,16,NA,34,NA,43,NA,103,NA,7630,NA,8560,NA,NA,28,2018-08-28,240,NA,2019-05-24,144,NA,2019-05-24,144,269,0,-0.11501234485728512,2,non-grass,4.83,bio,-0.8735288725360734
94,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,May,5,24,mowing,M,corn,May,5,24,3510,NA,23,NA,34,NA,128,NA,103,NA,6830,NA,8560,NA,NA,28,2018-08-28,240,NA,2019-05-24,144,NA,2019-05-24,144,269,0,-0.22577551657095207,2,non-grass,3.51,bio,0.2173012756899813
95,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,18,herbicide,H,corn,Jun,6,18,3180,NA,19,NA,34,NA,39,NA,103,NA,7700,NA,8560,NA,NA,28,2018-08-28,240,NA,2019-06-18,169,NA,2019-06-18,169,294,0,-0.10587986129401256,2,non-grass,3.18,bio,-0.9711673420999893
96,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,18,roller crimper,M,corn,Jun,6,18,4960,NA,5,NA,20,NA,28,NA,30,NA,7510,NA,5310,NA,NA,28,2018-08-28,240,NA,2019-06-18,169,NA,2019-06-18,169,294,0,0.346643630522196,2,non-grass,4.96,bio,-0.06899287148695143
97,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,18,mowing,M,corn,Jun,6,18,6470,NA,7,NA,20,NA,6,NA,30,NA,5900,NA,5310,NA,NA,28,2018-08-28,240,NA,2019-06-18,169,NA,2019-06-18,169,294,0,0.10536051565782635,2,non-grass,6.47,bio,-1.6094379124341003
98,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Apr,4,30,herbicide,H,corn,Apr,4,30,4680,NA,6,NA,20,NA,21,NA,30,NA,5630,NA,5310,NA,NA,28,2018-08-28,240,NA,2019-04-30,120,NA,2019-04-30,120,245,0,0.05851760689775151,2,non-grass,4.68,bio,-0.35667494393873245
99,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Apr,4,30,roller crimper,M,corn,Apr,4,30,4320,NA,17,NA,49,NA,80,NA,647,NA,920,NA,2840,NA,NA,28,2018-08-28,240,NA,2019-04-30,120,NA,2019-04-30,120,245,0,-1.1271856611121658,2,non-grass,4.32,bio,-2.090319659827019
100,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Apr,4,30,mowing,M,corn,Apr,4,30,3750,NA,17,NA,49,NA,231,NA,647,NA,500,NA,2840,NA,NA,28,2018-08-28,240,NA,2019-04-30,120,NA,2019-04-30,120,245,0,-1.73695123273306,2,non-grass,3.75,bio,-1.029928583979107
101,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Apr,4,30,mowing,M,corn,Apr,4,30,2940,NA,33,NA,49,NA,377,NA,647,NA,580,NA,2840,NA,NA,28,2018-08-28,240,NA,2019-04-30,120,NA,2019-04-30,120,245,0,-1.5885312276147867,2,non-grass,2.94,bio,-0.5401011070528898
102,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,May,5,16,herbicide,H,corn,May,5,16,1960,NA,46,NA,49,NA,663,NA,647,NA,720,NA,2840,NA,NA,28,2018-08-28,240,NA,2019-05-16,136,NA,2019-05-16,136,261,0,-1.3723081191451507,2,non-grass,1.96,bio,0.024428695684961865
103,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,May,5,16,roller crimper,M,corn,May,5,16,3180,NA,27,NA,34,NA,90,NA,152,NA,3200,NA,4130,NA,NA,28,2018-08-28,240,NA,2019-05-16,136,NA,2019-05-16,136,261,0,-0.25512659716726055,2,non-grass,3.18,bio,-0.5240708505160114
104,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,May,5,16,mowing,M,corn,May,5,16,3360,NA,25,NA,34,NA,165,NA,152,NA,3660,NA,4130,NA,NA,28,2018-08-28,240,NA,2019-05-16,136,NA,2019-05-16,136,261,0,-0.12081425955966647,2,non-grass,3.36,bio,0.08206495305430421
105,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,May,5,16,mowing,M,corn,May,5,16,2250,NA,18,NA,34,NA,79,NA,152,NA,3090,NA,4130,NA,NA,28,2018-08-28,240,NA,2019-05-16,136,NA,2019-05-16,136,261,0,-0.29010631606328724,2,non-grass,2.25,bio,-0.6544326683792548
106,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,5,herbicide,H,corn,May,5,5,3620,NA,19,NA,34,NA,137,NA,152,NA,3910,NA,4130,NA,NA,28,2018-08-28,240,NA,2019-06-05,156,NA,2019-05-05,125,281,-31,-0.054740032975666986,2,non-grass,3.62,bio,-0.1038995950181515
107,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,5,roller crimper,M,corn,May,5,5,3640,NA,6,NA,2,NA,39,NA,12,NA,2410,NA,3300,NA,NA,28,2018-08-28,240,NA,2019-06-05,156,NA,2019-05-05,125,281,-31,-0.31429572096987085,2,non-grass,3.64,bio,1.1786549963416462
108,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,5,mowing,M,corn,May,5,5,3290,NA,12,NA,2,NA,147,NA,12,NA,2340,NA,3300,NA,NA,28,2018-08-28,240,NA,2019-06-05,156,NA,2019-05-05,125,281,-31,-0.3437715391028245,2,non-grass,3.29,bio,2.505525936990736
109,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,5,mowing,M,corn,May,5,5,3130,NA,10,NA,2,NA,71,NA,12,NA,1670,NA,3300,NA,NA,28,2018-08-28,240,NA,2019-06-05,156,NA,2019-05-05,125,281,-31,-0.6810988420437707,2,non-grass,3.13,bio,1.777773227253315
110,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,6,herbicide,H,corn,May,5,6,3720,NA,4,NA,2,NA,35,NA,12,NA,2830,NA,3300,NA,NA,28,2018-08-28,240,NA,2019-06-06,157,NA,2019-05-06,126,282,-31,-0.15364575681728831,2,non-grass,3.72,bio,1.0704414117014134
115,11,"Werle et al., 2017",2017,"North Platte, NE",41.132511,-100.763969,RCBD,3,0.4388,NA,silt loam,NA,rye,grass,Y,spring,before,winter annual,Oct,10,17,67,drilled,Apr,4,18,herbicide,H,corn,NA,NA,NA,3766,201,17,5,196,25,10,4,115,11,NA,NA,NA,NA,NA,17,2018-10-17,290,NA,2019-04-18,108,NA,NA,NA,183,NA,NA,1.5,grass,3.766,bio,-2.4423470353692043
116,11,"Werle et al., 2017",2017,"North Platte, NE",41.132511,-100.763969,RCBD,3,0.4388,NA,sandy loam,NA,rye,grass,Y,spring,before,winter annual,Sep,9,20,94.1,drilled,Apr,4,18,herbicide,H,corn,NA,NA,NA,4081,322,NA,NA,NA,NA,19,5,407,39,NA,NA,NA,NA,NA,20,2018-09-20,263,NA,2019-04-18,108,NA,NA,NA,210,NA,NA,1.5,grass,4.081,bio,-3.0643742062761548
117,12,"Crawford et al., 2018",2018,"Urbana, IL",40.076623,-88.239866,RCBDsplitplot,3,0.9116,3.4,silt loam,5.9,radish,brassica,N,summer,after,summer annual,NA,NA,NA,NA,drilled,NA,NA,NA,winter kill,W,soybean,NA,NA,NA,438,NA,113.4,NA,96,NA,1164,NA,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,non-grass,0.438,bio,-0.2889699026362097
118,12,"Crawford et al., 2018",2018,"Urbana, IL",40.076623,-88.239866,RCBDsplitplot,3,0.9116,3.4,silt loam,5.9,canola,brassica,N,summer,after,summer annual,NA,NA,NA,NA,drilled,NA,NA,NA,herbicide,H,soybean,NA,NA,NA,1205,NA,146.2,NA,96,NA,983,NA,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,non-grass,1.205,bio,-0.4579784107804262
119,12,"Crawford et al., 2018",2018,"Urbana, IL",40.076623,-88.239866,RCBDsplitplot,3,0.9116,3.4,silt loam,5.9,rye,grass,N,summer,after,summer annual,NA,NA,NA,NA,drilled,NA,NA,NA,herbicide,H,soybean,NA,NA,NA,2375,NA,77.7,NA,96,NA,226,NA,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,grass,2.375,bio,-1.9280525316553068
